,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
690,Kenya,2015,KEN,2798,47878340,146192515072,2.462,0.051,16.301,2.528,18.36,0.34,0.112,0.183,1.322,0.028,25.482,0.532,0.174,38.494,381.04,18.217,NA,NA,324.329,NA,1865.517,0.611,NA,NA,NA,NA,1.377,1.551,30.46,0.636,16.89,0.353,12.517,0.261,NA,NA,89.318,0.17,0.05,0.01,0.11,0.03,0,NA,NA,0.06,NA,NA,NA,0.11,NA,74.24,65.91,9.181,56.32
691,Kiribati,1990,KIR,1944,72394,NA,NA,NA,0.022,0,0,0.304,NA,0.293,NA,NA,NA,NA,NA,NA,0.682,NA,NA,NA,0.682,NA,1042.687,NA,NA,NA,NA,NA,0.553,0.553,0.01,0.138,0,0,0.022,0.304,NA,NA,0.075,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.04,0.04,NA,NA
692,Kiribati,1995,KIR,1874,77716,NA,NA,NA,0.029,0,0,0.377,NA,0.391,NA,NA,NA,NA,NA,NA,0.817,NA,NA,NA,0.817,NA,971.284,NA,NA,NA,NA,NA,0.643,0.643,0.01,0.129,0,0,0.029,0.377,NA,NA,0.075,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.05,0.05,NA,NA
693,Kiribati,2000,KIR,1989,84405,NA,NA,NA,0.033,0.004,12.5,0.391,NA,0.227,NA,NA,NA,NA,NA,NA,0.967,NA,NA,NA,0.967,NA,1722.995,NA,NA,NA,NA,NA,0.592,0.592,0.02,0.237,0,0,0.033,0.391,NA,NA,0.145,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.05,0.05,NA,NA
694,Kiribati,2005,KIR,1959,92319,NA,NA,NA,0.059,0.011,23.08,0.635,NA,0.221,NA,NA,NA,NA,NA,NA,1.187,NA,NA,NA,1.187,NA,2874.605,NA,NA,NA,NA,NA,0.975,0.975,0.02,0.217,0,0,0.059,0.635,NA,NA,0.265,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.09,0.09,NA,NA
695,Kiribati,2010,KIR,1752,102930,NA,NA,NA,0.059,0.004,6.67,0.57,NA,0.224,NA,NA,NA,NA,NA,NA,1.491,NA,NA,NA,1.491,NA,2549.841,NA,NA,NA,NA,NA,0.777,0.777,0.02,0.194,0,0,0.059,0.57,NA,NA,0.262,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.08,0.08,NA,NA
696,Kiribati,2015,KIR,1976,110927,NA,NA,NA,0.055,-0.004,-6.25,0.495,NA,0.209,NA,NA,NA,NA,NA,NA,1.762,NA,NA,NA,1.762,NA,2371.172,NA,NA,NA,NA,NA,0.811,0.811,0.02,0.18,0,0,0.055,0.495,NA,NA,0.263,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.09,0.09,NA,NA
697,Kosovo,2010,NA,NA,NA,NA,0.161,NA,8.372,0.242,2.97,NA,NA,0.307,6.614,NA,NA,NA,NA,0.586,23.889,18.39,NA,NA,4.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.598,NA,NA,NA,27.259,0.01,0.03,0.05,0,0,0,NA,NA,0,NA,NA,NA,0.01,NA,NA,NA,NA,NA
698,Kosovo,2015,NA,NA,NA,NA,0.231,NA,8.339,1.213,17.02,NA,NA,0.301,6.155,NA,NA,NA,NA,1.587,63.545,48.497,NA,NA,13.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.954,NA,NA,NA,27.657,0.02,0.02,0.04,0,0,0.01,NA,NA,0,NA,NA,NA,0.02,NA,NA,NA,NA,NA
699,Kuwait,1990,KWT,NA,2095350,20899600384,0.376,0.179,37.807,2.035,5.69,18.043,1.809,0.413,NA,NA,39.173,18.695,1.874,7.086,782.462,NA,257.908,235.495,281.973,NA,43664.625,4.378,1.345,0.642,13.969,6.667,18.641,18.632,9.52,4.543,0.29,0.138,22.117,10.556,NA,NA,91.493,0.08,0.17,NA,0.06,0.1,NA,3.16,0.3,0.1,NA,0.53,0.36,0.24,NA,39.04,39.06,1.366,3.61
700,Kuwait,1995,KWT,81257,1605907,45232791552,0.784,0.488,54.59,-0.636,-1.15,33.993,1.207,0.363,NA,NA,51.958,32.354,1.149,8.739,985.972,NA,261.188,291.957,424.088,NA,93747.492,3.328,0.96,0.598,17.811,11.091,33.52,33.508,16.69,10.393,0.36,0.224,35.035,21.816,NA,NA,150.55,0.13,0.23,NA,0.06,0.11,NA,2.78,0.3,0.13,NA,0.41,0.42,0.38,NA,53.81,53.83,-2.632,-4.82
701,Kuwait,2000,KWT,70112,2045123,74939588608,0.459,0.224,53.385,-0.437,-0.81,26.104,0.712,0.252,NA,NA,30.596,14.96,0.408,11.874,1249.325,NA,265.932,382.727,588.791,NA,103633.445,2.828,0.964,0.471,20.686,10.115,34.145,34.135,17.3,8.459,0.49,0.24,31.277,15.294,NA,NA,211.943,0.06,0.21,NA,0.06,0.12,NA,2.51,0.32,0.16,NA,0.36,0.44,0.3,NA,69.81,69.83,-22.789,-42.69
702,Kuwait,2005,KWT,93734,2270196,146114084864,0.747,0.329,71.166,8.057,12.77,31.348,0.487,0.213,NA,NA,58.007,25.551,0.397,15.175,1558.69,NA,267.973,490.563,784.979,NA,147164.859,2.287,0.004,0.002,25.527,11.244,41.56,41.551,20.86,9.189,0.6,0.264,44.888,19.773,NA,NA,334.093,0.08,0.24,NA,0.07,0.13,NA,2.22,0.33,0.19,NA,0,0.47,0.4,NA,94.33,94.35,-13.159,-18.49
703,Kuwait,2010,KWT,75360,2991884,210625822720,0.717,0.24,89.272,2.317,2.66,29.838,0.424,0.227,NA,NA,74.877,25.027,0.356,19.115,1965.479,NA,270.139,621.19,1055.036,NA,131343.484,1.866,0.418,0.14,28.132,9.403,35.884,35.877,20.14,6.732,0.75,0.251,60.005,20.056,NA,NA,392.964,0.06,0.27,NA,0.07,0.15,NA,1.95,0.35,0.22,NA,0.11,0.45,0.53,NA,107.34,107.36,-14.396,-16.13
704,Kuwait,2015,KWT,70265,3835588,279780196352,1.083,0.282,91.349,15.867,21.02,23.816,0.326,0.204,NA,NA,86.207,22.476,0.308,23.851,2400.351,NA,275.833,796.692,1303.975,NA,118288.758,1.622,1.729,0.451,39.067,10.185,32.845,32.842,24.32,6.341,0.91,0.237,49.47,12.898,NA,NA,453.707,0.08,0.26,NA,0.07,0.16,NA,1.76,0.38,0.24,NA,0.46,0.58,0.42,NA,125.97,125.98,-5.142,-5.63
710,Kyrgyzstan,1990,KGZ,3475,4372885,25164234752,0.694,0.159,19.369,-1.682,-7.99,4.429,0.77,NA,7.102,1.624,19.358,4.427,0.769,19.433,630.297,319.643,5.309,47.598,238.315,NA,NA,NA,0.263,0.06,3.712,0.849,7.428,7.194,7.32,1.674,2.4,0.549,7.598,1.737,NA,NA,NA,0.14,0.09,0.08,0.16,0.08,0.07,0.06,0.06,0.09,NA,0.1,0.1,0.08,NA,31.46,32.48,-0.011,-0.06
711,Kyrgyzstan,1995,KGZ,1696,4566096,12537071616,0.14,0.031,4.512,-1.635,-26.61,0.988,0.36,0.083,1.246,0.273,9.892,2.166,0.789,21.233,676.541,337.746,NA,59.508,252.502,NA,11959.355,4.356,NA,NA,1.729,0.379,2.173,1.949,3.97,0.869,1.32,0.289,1.396,0.306,NA,NA,54.608,0.02,0.02,0.01,0.14,0.07,0.07,NA,0.06,0.08,NA,NA,0.04,0.01,NA,8.9,9.92,5.38,119.25
712,Kyrgyzstan,2000,KGZ,2075,4920712,15667579904,0.22,0.045,4.602,-0.046,-0.99,0.935,0.294,0.066,1.865,0.379,4.815,0.979,0.307,22.48,702.945,347.261,NA,67.609,260.042,NA,14218.729,4.466,NA,NA,1.312,0.267,1.929,1.721,3.42,0.695,1.32,0.268,1.205,0.245,NA,NA,69.966,0.03,0.02,0.02,0.12,0.07,0.07,NA,0.06,0.07,NA,NA,0.03,0.01,NA,8.47,9.49,0.212,4.61
713,Kyrgyzstan,2005,KGZ,2370,5075340,17942169600,0.411,0.081,5.515,-0.293,-5.05,1.087,0.307,0.096,2.319,0.457,7.985,1.573,0.445,24.022,728.432,357.565,NA,75.001,266.29,NA,11343.146,3.209,NA,NA,1.414,0.279,2.033,2.031,3.51,0.692,1.41,0.278,1.37,0.27,NA,NA,57.57,0.04,0.02,0.02,0.11,0.06,0.06,NA,0.05,0.06,NA,NA,0.03,0.01,NA,10.31,10.32,2.47,44.8
714,Kyrgyzstan,2010,KGZ,2790,5422298,21037254656,0.312,0.058,6.314,-0.423,-6.27,1.164,0.3,0.106,2.682,0.495,11.893,2.193,0.565,26.026,760.967,370.722,NA,80.568,278.098,NA,10959.132,2.825,NA,NA,0.564,0.104,2.222,2.22,3.89,0.717,1.64,0.302,2.755,0.508,NA,NA,59.424,0.03,0.02,0.02,0.09,0.06,0.06,NA,0.05,0.06,NA,NA,0.01,0.02,NA,12.04,12.05,5.579,88.36
715,Kyrgyzstan,2015,KGZ,3234,5959126,26325837824,0.584,0.098,10.279,0.183,1.82,1.725,0.39,0.157,4.338,0.728,16.173,2.714,0.614,28.851,808.552,390.021,NA,83.69,300.437,NA,11014.964,2.493,NA,NA,0.524,0.088,2.787,2.665,4.37,0.733,1.8,0.302,4.833,0.811,NA,NA,65.64,0.04,0.03,0.03,0.08,0.05,0.05,NA,0.04,0.06,NA,NA,0.01,0.04,NA,15.88,16.61,5.894,57.34
722,Latvia,1990,LVA,NA,2664447,42100703232,0.346,0.13,19.661,1.793,10.03,7.379,0.467,0.229,2.812,1.055,21.239,7.971,0.504,7.934,692.463,132.768,1.558,70.904,478.75,0.549,32451.861,2.054,0,0,5.493,2.062,9.54,4.661,4.07,1.528,2.56,0.961,10.462,3.927,0.206,0.549,86.466,0.07,0.09,0.03,0.07,0.09,0.03,0.02,0.09,0.18,0.03,0,0.14,0.11,0.25,12.42,25.42,1.578,8.02
723,Latvia,1995,LVA,8284,2508476,21646094336,0.094,0.038,9.134,-1.236,-11.92,3.641,0.422,0.207,1.111,0.443,12.475,4.973,0.576,8.582,756.001,142.013,1.558,87.101,515.572,1.175,17767.049,2.059,0,0,2.297,0.916,5.218,0.084,2.64,1.052,1.44,0.574,5.598,2.231,0.013,0.033,44.568,0.02,0.04,0.01,0.06,0.08,0.03,0.02,0.09,0.16,0.04,0,0.05,0.06,0.02,0.21,13.09,3.341,36.58
724,Latvia,2000,LVA,11175,2384150,26780788736,0.088,0.037,7.081,-0.636,-8.24,2.97,0.264,0.19,0.57,0.239,12.555,5.266,0.469,9.127,796.997,145.806,1.558,98.634,540.518,1.354,15835.489,1.41,0,0,2.504,1.05,4.433,-0.893,2.17,0.91,1.44,0.604,3.88,1.627,0.016,0.039,37.754,0.01,0.03,0.01,0.05,0.08,0.03,0.01,0.08,0.15,0.03,0,0.05,0.04,0.02,-2.13,10.57,5.474,77.3
725,Latvia,2005,LVA,17522,2251996,38221836288,0.134,0.06,7.811,0.08,1.03,3.468,0.204,0.169,0.362,0.161,13.155,5.841,0.344,9.755,835.281,147.838,1.558,113.834,560.724,1.572,20851.598,1.229,0,0,3.152,1.4,5.115,-1.035,2.15,0.955,1.58,0.702,4.13,1.834,0.014,0.033,46.958,0.01,0.03,0,0.04,0.07,0.03,0.01,0.08,0.13,0.03,0,0.06,0.04,0.01,-2.33,11.52,5.344,68.42
726,Latvia,2010,LVA,18252,2118855,35958493184,0.431,0.203,8.554,1.098,14.73,4.037,0.238,0.174,0.455,0.215,13.273,6.264,0.369,10.872,876.437,149.931,1.558,129.547,582.823,1.706,23444.023,1.381,0,0,3.393,1.601,5.895,-0.618,2.06,0.972,1.73,0.816,4.251,2.006,0.012,0.024,49.674,0.03,0.03,0,0.04,0.07,0.02,0.01,0.07,0.12,0.03,0,0.05,0.04,0.01,-1.31,12.49,4.719,55.16
727,Latvia,2015,LVA,23019,1997675,42500100096,0.47,0.235,7.262,0.09,1.26,3.635,0.171,0.178,0.19,0.095,12.281,6.148,0.289,13.573,913.569,151.507,1.559,142.997,602.098,1.835,20893.631,0.982,0,0,2.506,1.254,5.792,4.45,2.04,1.021,1.96,0.981,4.066,2.036,0.015,0.029,41.739,0.03,0.02,0,0.04,0.06,0.02,0.01,0.07,0.11,0.02,0,0.04,0.03,0.01,8.89,11.57,5.019,69.11
728,Lebanon,1990,LBN,5584,2803032,9719894016,0.108,0.038,7.868,0.147,1.91,2.807,0.809,0.377,NA,NA,NA,NA,NA,17.877,185.748,NA,NA,NA,167.427,NA,7449.42,2.148,NA,NA,NA,NA,2.594,2.601,1.23,0.439,0.4,0.143,7.76,2.769,NA,NA,20.881,0.02,0.03,NA,0.15,0.02,NA,NA,NA,0.06,NA,NA,NA,0.08,NA,7.29,7.27,NA,NA
729,Lebanon,1995,LBN,9839,3528379,24166459392,0.475,0.135,12.255,1.144,10.3,3.473,0.507,0.23,0.476,0.135,NA,NA,NA,18.912,237.31,1.48,NA,NA,216.917,NA,15127.2,2.209,NA,NA,NA,NA,4.39,4.393,1.51,0.428,0.58,0.164,11.303,3.204,NA,NA,53.374,0.08,0.05,0.01,0.13,0.03,0,NA,NA,0.07,NA,NA,NA,0.12,NA,15.5,15.49,NA,NA
730,Lebanon,2000,LBN,10617,3842774,31977721856,1.631,0.424,15.466,-0.963,-5.86,4.025,0.484,0.255,0.502,0.131,NA,NA,NA,24.839,313.344,4.129,NA,NA,284.375,NA,15771.434,1.895,NA,NA,NA,NA,4.924,4.926,2.26,0.588,0.62,0.161,13.333,3.47,NA,NA,60.606,0.23,0.06,0.01,0.14,0.03,0,NA,NA,0.08,NA,NA,NA,0.13,NA,18.93,18.92,NA,NA
731,Lebanon,2005,LBN,10513,4698761,52444897280,2.749,0.585,16.65,-0.558,-3.24,3.543,0.317,0.266,0.502,0.107,NA,NA,NA,35.872,398.382,6.639,NA,NA,355.871,NA,13317.401,1.193,NA,NA,NA,NA,4.446,4.448,2.51,0.534,0.6,0.128,13.399,2.852,NA,NA,62.575,0.29,0.06,0,0.16,0.03,0,NA,NA,0.08,NA,NA,NA,0.12,NA,20.9,20.89,NA,NA
732,Lebanon,2010,LBN,14406,4953064,86947323904,2.571,0.519,19.997,-0.961,-4.59,4.037,0.23,0.252,0.564,0.114,NA,NA,NA,47.581,485.292,9.211,NA,0.579,427.921,NA,15988.594,0.911,NA,NA,0.484,0.098,5.098,5.1,2.77,0.559,0.68,0.137,16.378,3.307,NA,NA,79.193,0.21,0.06,0,0.17,0.04,0,NA,0,0.09,NA,NA,0.01,0.14,NA,25.26,25.25,NA,NA
733,Lebanon,2015,LBN,11887,6532681,95081783296,2.395,0.367,25.735,1.743,7.26,3.939,0.271,0.254,0.627,0.096,NA,NA,NA,60.095,599.779,12.219,NA,NA,526.886,NA,15535.813,1.067,NA,NA,NA,NA,5.033,5.022,3.1,0.475,0.89,0.136,22.713,3.477,NA,NA,101.491,0.17,0.07,0,0.17,0.04,0,NA,NA,0.1,NA,NA,NA,0.19,NA,32.81,32.88,NA,NA
740,Lesotho,1990,LSO,1299,1703757,3205046016,NA,NA,1.473,NA,NA,0.864,0.46,1.674,1.142,0.67,NA,NA,NA,NA,1.473,1.142,NA,NA,0.331,NA,516.493,0.275,NA,NA,NA,NA,1.139,1.15,1.01,0.593,0.6,0.352,0.331,0.194,NA,NA,0.88,NA,0.01,0.01,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,1.96,1.94,NA,NA
741,Lesotho,1995,LSO,1511,1898598,3490315776,NA,NA,1.707,0.033,1.97,0.899,0.489,1.577,1.352,0.712,NA,NA,NA,NA,9.603,7.547,NA,NA,2.056,NA,570.51,0.31,NA,NA,NA,NA,1.038,1.048,1.02,0.537,0.59,0.311,0.355,0.187,NA,NA,1.083,NA,0.01,0.02,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,1.99,1.97,NA,NA
742,Lesotho,2000,LSO,1637,2032805,3769602304,NA,NA,1.85,0.026,1.41,0.91,0.491,0.746,1.469,0.723,NA,NA,NA,NA,18.587,14.682,NA,NA,3.905,NA,1220.945,0.658,NA,NA,NA,NA,1.127,1.127,1.17,0.576,0.7,0.344,0.381,0.188,NA,NA,2.482,NA,0.01,0.02,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,2.29,2.29,NA,NA
743,Lesotho,2005,LSO,1914,1996115,3870538496,NA,NA,2.012,0.029,1.48,1.008,0.52,0.646,1.598,0.8,NA,NA,NA,NA,28.293,22.402,NA,NA,5.892,NA,1560.685,0.805,NA,NA,NA,NA,1.132,1.132,1.14,0.571,0.66,0.331,0.414,0.207,NA,NA,3.115,NA,0.01,0.01,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,2.26,2.26,NA,NA
744,Lesotho,2010,LSO,2419,1995575,4442653696,NA,NA,2.275,0.059,2.64,1.14,0.512,0.516,1.751,0.878,NA,NA,NA,NA,39.022,30.825,NA,NA,8.196,NA,2207.439,0.992,NA,NA,NA,NA,1.158,1.158,1.09,0.546,0.62,0.311,0.524,0.263,NA,NA,4.405,NA,0.01,0.01,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,2.31,2.31,NA,NA
745,Lesotho,2015,LSO,2867,2059011,5279079936,NA,NA,2.242,-0.231,-9.33,1.089,0.425,0.528,1.63,0.792,NA,NA,NA,NA,52.227,41.106,NA,NA,11.12,NA,2062.874,0.805,NA,NA,NA,NA,1.136,1.136,1.02,0.495,0.57,0.277,0.612,0.297,NA,NA,4.247,NA,0.01,0.01,NA,0,0.01,NA,NA,0,NA,NA,NA,0.01,NA,2.34,2.34,NA,NA
746,Liberia,1990,LBR,NA,2075917,3680819968,0.02,0.01,0.467,-0.192,-29.18,0.225,0.127,0.194,NA,NA,NA,NA,NA,0.981,31.817,NA,NA,NA,30.836,NA,1157.154,0.653,NA,NA,NA,NA,0.409,6.927,0.28,0.135,0.24,0.116,0.447,0.215,NA,NA,2.402,0,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0,NA,14.38,0.85,NA,NA
747,Liberia,1995,LBR,NA,2044657,783478720,0.002,0.001,0.423,0.001,0.19,0.207,0.54,0.27,NA,NA,NA,NA,NA,0.992,33.847,NA,NA,NA,32.855,NA,765.818,1.999,NA,NA,NA,NA,0.372,6.989,0.24,0.117,0.22,0.108,0.421,0.206,NA,NA,1.566,0,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0,NA,14.29,0.76,NA,NA
748,Liberia,2000,LBR,1318,2848447,2767093248,0.029,0.01,0.421,0.03,7.67,0.148,0.152,0.222,NA,NA,NA,NA,NA,1.04,36.031,NA,NA,NA,34.991,NA,663.847,0.683,NA,NA,NA,NA,0.295,5.02,0.22,0.077,0.18,0.063,0.392,0.138,NA,NA,1.891,0,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0,NA,14.3,0.84,NA,NA
749,Liberia,2005,LBR,940,3218114,2369891584,0.057,0.018,0.654,0.108,19.72,0.203,0.276,0.236,NA,NA,NA,NA,NA,1.202,38.582,NA,NA,NA,37.38,NA,859.682,1.167,NA,NA,NA,NA,0.345,4.521,0.2,0.062,0.17,0.053,0.597,0.186,NA,NA,2.767,0.01,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,14.55,1.11,NA,NA
750,Liberia,2010,LBR,1101,3891357,3260614912,0.028,0.007,0.761,0.286,60.34,0.195,0.233,0.226,NA,NA,NA,NA,NA,1.415,41.653,NA,NA,NA,40.238,NA,865.436,1.033,NA,NA,NA,NA,0.36,3.826,0.32,0.082,0.28,0.072,0.733,0.188,NA,NA,3.368,0,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,14.89,1.4,NA,NA
751,Liberia,2015,LBR,1226,4472229,3857900032,0.115,0.026,1.204,0.012,1.02,0.269,0.312,0.248,NA,NA,NA,NA,NA,1.798,46.74,NA,NA,NA,44.943,NA,1087.209,1.26,NA,NA,NA,NA,0.501,3.694,0.8,0.179,0.8,0.179,1.088,0.243,NA,NA,4.862,0.01,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,16.52,2.24,NA,NA
752,Libya,1990,LBY,NA,4436663,20372078592,1.108,0.25,36.514,-0.555,-1.5,8.23,1.792,0.245,0.015,0.003,NA,NA,NA,23.694,636.938,1.024,240.206,71.638,300.376,NA,33559.09,7.309,7.214,1.626,9.273,2.09,19.706,19.706,57.51,12.962,1.24,0.279,18.904,4.261,NA,NA,148.89,0.22,0.16,0,0.2,0.08,0,2.94,0.09,0.11,NA,2.85,0.24,0.21,NA,87.43,87.43,NA,NA
753,Libya,1995,LBY,NA,4948796,31943534592,1.308,0.264,45.69,1.937,4.43,9.233,1.43,0.282,0.015,0.003,NA,NA,NA,29.404,844.733,1.094,261.365,117.265,435.605,NA,32779.625,5.078,3.426,0.692,9.064,1.832,22.998,22.998,68.88,13.919,1.26,0.255,31.878,6.442,NA,NA,162.22,0.21,0.19,0,0.2,0.09,0,2.79,0.12,0.14,NA,1.46,0.22,0.34,NA,113.81,113.81,NA,NA
754,Libya,2000,LBY,21913,5357893,49983479808,1.213,0.226,47.515,2.46,5.46,8.868,0.951,0.223,NA,NA,NA,NA,NA,35.518,1073.13,NA,276.284,164.822,595.383,NA,39744.406,4.26,2.653,0.495,9.497,1.773,20.654,20.654,64.04,11.952,1.23,0.23,34.152,6.374,NA,NA,212.946,0.17,0.19,NA,0.19,0.1,NA,2.61,0.14,0.16,NA,0.98,0.2,0.33,NA,110.66,110.66,NA,NA
755,Libya,2005,LBY,26018,5798615,94523187200,1.435,0.248,56.989,6.36,12.56,9.828,0.603,0.247,NA,NA,NA,NA,NA,42.315,1326.87,NA,290.775,219.796,772.861,NA,39833.863,2.444,4.972,0.857,11.039,1.904,22.319,22.319,73.97,12.756,1.53,0.264,39.543,6.819,NA,NA,230.981,0.15,0.19,NA,0.19,0.11,NA,2.41,0.15,0.18,NA,1.5,0.2,0.36,NA,129.42,129.42,NA,NA
756,Libya,2010,LBY,29494,6197667,187528527872,2.699,0.435,60.653,7.531,14.18,9.786,0.323,0.23,NA,NA,NA,NA,NA,53.733,1597.468,NA,322.652,280.96,938.996,NA,42535.723,1.406,6.701,1.081,13.198,2.129,22.158,22.158,74.21,11.974,1.86,0.3,38.054,6.14,NA,NA,263.622,0.22,0.18,NA,0.19,0.12,NA,2.33,0.16,0.2,NA,1.83,0.21,0.34,NA,137.33,137.33,NA,NA
757,Libya,2015,LBY,14423,6418315,53558087680,1.937,0.302,58.184,-13.207,-18.5,9.065,1.086,0.323,NA,NA,NA,NA,NA,61.265,1869.815,NA,356.12,349.5,1101.804,NA,28077.391,3.365,8.541,1.331,15.671,2.442,14.024,14.024,33.72,5.254,1.72,0.268,32.034,4.991,NA,NA,180.21,0.13,0.16,NA,0.17,0.12,NA,2.27,0.17,0.21,NA,2.29,0.23,0.27,NA,90.01,90.01,NA,NA
764,Lithuania,1990,LTU,NA,3696035,51021991936,1.668,0.451,35.768,-0.884,-2.41,9.677,0.701,0.178,3.187,0.862,42.415,11.476,0.831,33.645,1104.557,156.76,7.827,137.434,768.409,0.482,54622.754,3.957,0.024,0.007,10.583,2.863,12.194,12.378,7.12,1.926,5.73,1.55,19.824,5.364,0.13,0.482,201.888,0.33,0.16,0.04,0.28,0.14,0.04,0.1,0.18,0.29,0.03,0.01,0.28,0.22,0.22,45.75,45.07,6.648,18.59
765,Lithuania,1995,LTU,9357,3626609,30095167488,0.308,0.085,15.092,-0.71,-4.49,4.161,0.502,0.154,0.979,0.27,27.189,7.497,0.903,37.003,1210.855,165.641,8.037,166.599,831.911,1.663,27185.998,3.276,0.057,0.016,4.566,1.259,6.226,6.411,5.18,1.428,3.65,1.006,9.063,2.499,0.033,0.119,98.593,0.05,0.06,0.01,0.25,0.13,0.03,0.09,0.17,0.26,0.06,0.02,0.11,0.1,0.05,23.25,22.58,12.098,80.16
766,Lithuania,2000,LTU,12190,3501842,37788340224,0.293,0.083,11.876,-1.607,-11.92,3.391,0.314,0.153,0.378,0.108,18.109,5.171,0.479,38.737,1283.215,168.847,8.549,188.636,876.335,2.111,22283.807,2.065,0.11,0.032,4.53,1.294,5.608,5.783,4.42,1.262,4.68,1.336,6.494,1.855,0.02,0.071,78.034,0.04,0.05,0,0.21,0.12,0.03,0.08,0.16,0.24,0.05,0.04,0.1,0.06,0.03,20.25,19.64,6.232,52.48
767,Lithuania,2005,LTU,18527,3344259,54504800256,0.383,0.115,14.117,0.83,6.25,4.221,0.259,0.152,0.763,0.228,20.008,5.983,0.367,40.338,1348.638,171.901,9.114,213.873,910.926,2.486,27952.486,1.715,0.113,0.034,5.552,1.66,6.803,6.818,4.26,1.274,5.57,1.666,7.238,2.164,0.02,0.067,93.48,0.04,0.05,0.01,0.18,0.11,0.03,0.08,0.15,0.22,0.05,0.03,0.1,0.07,0.03,22.8,22.75,5.89,41.72
768,Lithuania,2010,LTU,21071,3123825,57760002048,0.289,0.093,13.945,0.903,6.92,4.464,0.241,0.213,0.843,0.27,19.918,6.376,0.345,42.404,1421.086,176.355,9.929,242.363,947.233,2.802,21040.055,1.138,0.258,0.083,5.664,1.813,6.582,6.594,3.88,1.242,3.82,1.223,6.848,2.192,0.014,0.043,65.725,0.02,0.04,0.01,0.15,0.11,0.03,0.07,0.14,0.2,0.04,0.07,0.09,0.06,0.02,20.6,20.56,5.973,42.83
769,Lithuania,2015,LTU,27042,2931872,69339054080,0.518,0.177,13.319,0.213,1.62,4.543,0.192,0.21,0.736,0.251,21.683,7.396,0.313,44.499,1489.505,181.027,11.13,268.659,981.013,3.178,21786.641,0.921,0.207,0.071,4.649,1.586,6.436,4.359,3.45,1.177,3.82,1.303,7.132,2.433,0.026,0.077,63.876,0.04,0.04,0,0.13,0.1,0.03,0.07,0.13,0.18,0.04,0.06,0.07,0.06,0.03,12.78,18.87,8.363,62.79
782,Luxembourg,1990,LUX,57618,381780,14057150464,0.539,1.413,11.823,1.977,20.08,30.969,0.841,0.318,6.302,16.508,11.823,30.969,0.841,7.442,446.561,321.181,0,14.86,103.018,0.06,97310.641,2.643,0,0,1.036,2.713,31.929,30.253,0.6,1.572,0.3,0.786,3.886,10.179,0.157,0.06,37.151,0.11,0.05,0.07,0.06,0.06,0.07,0,0.02,0.04,0,0,0.03,0.04,0.03,11.55,12.19,0,0
