,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1401,United Kingdom,1995,GBR,28517,57932448,1623418994688,6.285,0.108,566.568,-8.073,-1.4,9.78,0.349,0.223,181.41,3.131,646.75,11.164,0.398,390.34,65624.164,53851.84,158.01,2445.018,8759.209,19.743,44060.715,1.572,9.166,0.158,153.003,2.641,12.222,12.006,113.29,1.956,46.85,0.809,213.054,3.678,0.063,3.65,2552.545,1,2.42,2.06,2.61,7.11,11.2,1.68,2.48,2.77,0.67,3.9,3.63,2.28,1.64,695.56,708.04,80.182,14.15
1402,United Kingdom,2000,GBR,33152,58923304,1889457799168,6.332,0.108,567.585,6.476,1.15,9.633,0.3,0.213,144.183,2.447,695.888,11.81,0.368,423.168,68470.977,54615.219,194.375,3407.446,9793.383,37.382,45219.742,1.41,5.874,0.1,208.9,3.545,11.635,11.423,106,1.799,36.05,0.612,199.054,3.378,0.055,3.242,2664.497,0.88,2.25,1.6,2.31,6.55,10.4,1.84,2.81,2.68,0.93,2.18,4.41,1.94,1.51,673.09,685.57,128.303,22.61
1403,United Kingdom,2005,GBR,37172,60287952,2160945659904,5.941,0.098,569.962,-2.942,-0.51,9.454,0.264,0.211,147.747,2.451,726.647,12.053,0.336,452.786,71321.688,55358.062,223.242,4444.909,10786.535,56.158,45092.977,1.258,6.013,0.1,204.384,3.39,11.179,10.998,86.26,1.431,31.97,0.53,201.613,3.344,0.071,4.264,2718.563,0.62,1.93,1.28,2.01,6.03,9.6,1.85,3.03,2.57,1.09,1.81,3.79,1.82,1.77,663.04,673.97,156.685,27.49
1404,United Kingdom,2010,GBR,36509,63459800,2190775025664,3.792,0.06,511.632,17.737,3.59,8.062,0.234,0.207,117.874,1.857,682.566,10.756,0.312,477.514,73998.523,56039.926,247.856,5423.308,11734.29,75.631,39228.012,1.136,4.695,0.074,200.986,3.167,9.318,9.146,62.34,0.982,29.01,0.457,180.855,2.85,0.054,3.43,2489.402,0.3,1.53,0.84,1.69,5.52,8.73,1.79,3.08,2.47,1.18,1.28,3.24,1.6,1.4,580.39,591.32,170.934,33.41
1405,United Kingdom,2015,GBR,39010,65860148,2415783051264,4.393,0.067,422.34,-16.201,-3.69,6.413,0.175,0.188,91.469,1.389,571.376,8.676,0.236,497.972,76293.766,56654.055,269.046,6196.489,12583.334,92.87,34571.113,0.942,4.606,0.07,147.23,2.236,7.536,7.394,50.11,0.761,28.36,0.431,171.464,2.603,0.048,3.178,2276.859,0.31,1.19,0.62,1.41,5.03,7.91,1.71,2.97,2.36,1.18,1.24,2.17,1.44,1.05,487,496.3,149.036,35.29
1406,United States,1990,USA,36813,252120320,9250378088448,33.484,0.133,5113.455,-18.472,-0.36,20.282,0.553,0.227,1841.986,7.306,5031.786,19.958,0.544,1575.555,249196.406,119893.273,868.465,37438.867,88856.562,563.689,89665.969,2.444,41.757,0.166,1033.673,4.1,23.14,21.487,650.88,2.582,241.12,0.956,2138.354,8.481,0.096,24.199,22606.613,6.71,22.48,21.14,12.98,30.86,27.39,10.63,47.76,32.98,30.47,16.5,26.91,23.2,10.86,5417.32,5834.14,-81.669,-1.6
1407,United States,1995,USA,39171,265163744,10510263123968,37.075,0.14,5421.502,62.678,1.17,20.446,0.516,0.224,1942.302,7.325,5356.474,20.201,0.51,1749.508,275469.5,129342.898,1071.76,43046.25,99573.742,685.328,91795.789,2.316,39.41,0.149,1194.544,4.505,23.18,21.608,658.8,2.485,257.15,0.97,2180.865,8.225,0.103,27.305,24340.916,5.92,23.12,22.01,11.7,29.86,26.91,11.42,43.63,31.51,23.36,16.77,28.34,23.37,12.28,5729.69,6146.51,-65.028,-1.2
1408,United States,2000,USA,45661,281710912,12973842104320,41.445,0.147,6010.508,205.839,3.55,21.336,0.463,0.227,2179.839,7.738,6255.891,22.207,0.482,1946.523,304312.781,139809.328,1255.854,49147.73,111326.82,826.521,94229.312,2.046,36.182,0.128,1257.599,4.464,24.094,22.621,619.46,2.199,252.16,0.895,2469.14,8.765,0.093,26.303,26545.426,5.78,23.82,24.19,10.63,29.12,26.62,11.86,40.51,30.45,20.52,13.42,26.56,24.01,12.24,6372.54,6787.48,245.382,4.08
1409,United States,2005,USA,49513,294993504,14703731408896,46.194,0.157,6134.521,20.515,0.34,20.795,0.417,0.229,2214.837,7.508,6596.274,22.361,0.449,2166.729,334424.781,150607.453,1438.856,55225.27,124027.344,959.138,91222.797,1.83,37.244,0.126,1199.296,4.065,22.891,21.533,607.07,2.058,257.76,0.874,2608.477,8.842,0.097,28.473,26910.133,4.81,20.72,19.14,9.6,28.29,26.13,11.91,37.62,29.59,18.64,11.21,22.23,23.49,11.81,6352.14,6752.84,461.753,7.53
1410,United States,2010,USA,49479,309011456,15270622003200,31.449,0.102,5675.787,197.577,3.61,18.368,0.372,0.22,2013.304,6.515,5998.163,19.411,0.393,2361.568,363675.531,161092.844,1635.315,61486.957,135996.969,1101.883,83983.508,1.699,41.343,0.134,1308.832,4.235,20.799,19.501,628.18,2.033,254.67,0.824,2250.504,7.283,0.098,30.354,25951.865,2.52,17.02,14.41,8.35,27.12,25.1,11.8,34.96,28.62,17.21,11.26,21.09,19.9,12.38,6026.14,6427.13,322.376,5.68
